student	étudiante	étudiant
mathematician	mathématicienne	mathématicien
scientist	savante	savant
pioneer	pionnière	pionnier
president	présidente	président
campaigner	candidate	candidat
president	présidente	président
partisan	partisane	partisan
participant	participante	participant
actor	actrice	acteur
foreigner	étrangère	étranger
stranger	étrangère	étranger
citizen	citoyenne	citoyen
historian	historienne	historien
musician	musicienne	musicien
Muslim	musulmane	musulman
physicist	physicienne	physicien
founder	fondatrice	fondateur
skier	skieuse	skieur
champion	championne	champion
counselor	conseillère	conseiller
director	directrice	directeur
Greek	grecque	grec
cartoonist	dessinatrice	dessinateur
reader	lectrice	lecteur
sports_fan	admiratrice	admirateur
cousin	cousine	cousin
heir	héritière	héritier
thief	voleuse	voleur
spouse	épouse	époux
policeman	policière	policier
athlete	sportive	sportif
friend	amie	ami
illustrator	illustratrice	illustrateur
hunter	chercheuse	chercheur
invader	envahisseuse	envahisseur
survivor	survivante	survivant
inhabitant	habitante	habitant
peasant	paysanne	paysan
explorer	exploratrice	explorateur
resident	habitante	habitant
Christian	chrétienne	chrétien
compiler	compilatrice	compilateur
companion	compagne	compagnon
pope	papesse	pape
principal	directrice	directeur
visitor	visiteuse	visiteur
theologian	théologienne	théologien
singer	chanteuse	chanteur
holder	porteuse	porteur
immigrant	immigrante	immigrant
sheepherder	bergère	berger
dancer	danseuse	danseur
villager	villageoise	villageois
senator	sénatrice	sénateur
inhabitant	résidente	résident
ecologist	écologue	écologiste
traveler	voyageuse	voyageur
worker	ouvrière	ouvrier
worker	travailleuse	travailleur
holder	détentrice	détenteur
pen_pal	correspondante	correspondant
geneticist	généticienne	généticien
curator	conservatrice	conservateur
baby	bébé	bébé
spy	espionne	espion
peasant	paysanne	paysan
Huguenot	huguenote	huguenot
voter	électrice	électeur
Anglican	anglicane	anglican
entrepreneur	entrepreneuse	entrepreneur
custodian	conservateure	conservateur
advocate	avocate	avocat
employee	employée	employé
divorcee	divorcée	divorcé
peer	pareille	pair
aviator	aviatrice	aviateur
hotelier	hôtelière	hôtelier
draftsman	dessinatrice	dessinateur
programmer	programmeuse	programmeur
plaintiff	plaignante	plaignant
lawyer	avocate	avocat
dwarf	naine	nain
adolescent	adolescente	adolescent
