english	fem	masc
dancer	bailarina	bailarín
bitch	puta	puto
criminologist	criminóloga	criminólogo
designer	diseñadora	diseñador
cousin-german	prima	primo
coordinator	coordinadora	coordinador
cook	cocinera	cocinero
director	directora	director
composer	compositora	compositor
associate	compañera	compañero
standard-bearer	abanderada	abanderado
colleague	colega	compañero
cobbler	zapatera	zapatero
coach	entrenadora	entrenador
citizen	ciudadana	ciudadano
chiropractor	quiropráctica	quiropráctico
child	niña	niño
charmer	encantadora	encantador
charioteer	auriga	cochero
censor	censora	censor
cardiologist	cardióloga	cardiólogo
candidate	nominada	nominado
cameraman	camarógrafa	camarógrafo
butcher	carnicera	carnicero
butch	tortillera	bollo
hooligan	vándala	vándalo
boaster	fanfarria	fanfarrón
boxer	boxeadora	boxeador
phytologist	botánica	botánico
bodyguard	escolta	guardaespalda
blogger	bloguera	bloguero
blacksmith	herrera	herrero
biologist	bióloga	biólogo
biographer	biógrafa	biógrafo
banker	banquera	banquero
airman	aviadora	aviador
atheist	atea	ateo
astrophysicist	astrofísica	astrofísico
architect	arquitecta	arquitecto
archaeologist	arqueóloga	arqueólogo
arbitrator	árbitra	árbitro
antiquary	anticuaria	anticuario
anthropologist	antropóloga	antropólogo
ally	aliada	aliado
albino	albina	albino
agitator	agitadora	agitador
aggressor	agresora	agresor
advocate	abogada	abogado
exponent	portavoz	vocero
adviser	consejera	consejero
teenager	chica	chico
Berliner	berlinesa	berlinés
German	alemana	alemán
Turk	turca	turco
Taiwanese	taiwanesa	taiwanés
Swede	sueca	sueco
Scotsman	escocesa	escocés
Saudi	saudita	saudí
Georgian	georgiana	georgiano
Russian	rusa	ruso
Romanian	rumana	rumano
Portuguese	portuguesa	portugués
Pole	polaca	polaco
Peruvian	peruana	peruano
Kiwi	neozelandesa	neozelandés
Mexican	mexicana	mexicano
Luxembourger	luxemburguesa	luxemburgués
Latino	latinoamericana	latinoamericano
Korean	coreana	coreano
Jamaican	jamaicana	jamaicano
Venetian	veneciana	veneciano
Etruscan	etrusca	etrusco
Italian	italiana	italiano
Indonesian	indonesia	indonesio
Icelander	islandesa	islandés
Hungarian	húngara	húngaro
Greek	griega	griego
Frenchwoman	francesa	francés
Latvian	letona	letón
Finn	finlandesa	finlandés
Egyptian	egipcia	egipcio
Slovak	eslovaca	eslovaco
Congolese	congoleña	congoleño
Colombian	colombiana	colombiano
Chinese	china	chino
Chilean	chilena	chileno
Bulgarian	búlgara	búlgaro
Brazilian	brasileña	brasileño
Bolivian	boliviana	boliviano
Basque	vasca	vasco
Austrian	austriaca	austriaco
Aussie	australiana	australiano
Argentinian	argentina	argentino
Ecuadorian	ecuatoriano	ecuatoriana
Angolan	angoleña	angoleño
Algerian	argelina	argelino
Albanian	albanesa	albanés
Afghan	afgana	afgano
Muslim	musulmana	musulmán
Copt	copta	copto
Catholic	católica	católico
Christian	cristiana	cristiano
Slav	eslava	eslavo
Indian	india	indio
Asian	asiática	asiático
Afro-American	afroamericana	afroamericano
blackamoor	negra	negro
African	africana	africano
receiver	receptora	receptor
adventurer	aventurera	aventurero
grownup	adulta	adulto
zoologist	zoóloga	zoólogo
author	autora	autor
victor	ganadora	ganador
